ID;CLASS;DEPTH (M);RES A10;RES A20;RES A30;RES A60;RES A 90;SONIC P;SONIC S;GAMMA RAY;CALIPER;NEUTRON POROSITY;DENSITY (G/CM3);OIL SATURATION;calcite;dolomite ;quartz;k-feldspar;plagioclase;"illite ""type"" (1)";kaolinite;chlorite;pyrite
D1;CLAYSTONE;1000;0.60981;0.61867;0.61652;0.6112;0.61015;169.17286;434.88125;104;24.1735;0.20353;2.13761;0.01;4.9;5.4;64.1;0.0;2.3;10.6;5.2;4.4;3.1
D2;CLAYSTONE;1000.5;0.60981;0.61867;0.61652;0.6112;0.61015;169.17287;434.88126;105;24.17351;0.20354;2.13761;0.01;9.6;0.0;47.8;0.0;5.5;24.0;6.6;2.4;4.1
D3;CLAYSTONE;1001;0.61122;0.61973;0.61712;0.61089;0.61204;169.17287;434.88126;105;24.17351;0.20041;2.13761;0.01;5.3;0.0;58.9;0.8;8.2;20.3;1.9;2.0;2.6
D4;CLAYSTONE;1001.5;0.61292;0.62025;0.61758;0.61023;0.61358;169.17287;434.88126;105;24.17351;0.20041;2.13761;0.01;24.1;0.0;22.2;0.0;12.4;26.6;3.4;7.8;3.5
D5;CLAYSTONE;1002;0.61536;0.61771;0.61593;0.61021;0.61348;169.17287;434.88126;105;24.17351;0.20041;2.13761;0.01;21.2;1.6;29.6;0.0;14.3;19.0;3.9;7.1;3.3
D6;CLAYSTONE;1002.5;0.61825;0.61507;0.61271;0.61121;0.6127;169.17287;434.88126;105;24.17351;0.20041;2.13761;0.01;9.8;0.0;31.0;0.0;12.8;24.8;6.9;10.3;4.4
D7;CLAYSTONE;1003;0.62362;0.61337;0.61108;0.60962;0.61198;169.17287;434.88126;105;24.17351;0.20041;2.13761;0.01;10.1;0.0;31.2;0.0;17.3;22.7;4.3;11.5;2.9
D8;CLAYSTONE;1003.5;0.6315;0.61067;0.61025;0.60799;0.61123;169.17287;434.88126;105;24.17351;0.2004;2.13761;0.01;10.7;1.8;31.5;0.0;24.5;16.5;4.1;8.6;2.3
D9;CLAYSTONE;1004;0.64476;0.60997;0.60881;0.60859;0.60928;169.17287;434.88126;105;24.17351;0.2004;2.13761;0.01;3.8;0.0;31.1;0.0;14.4;27.6;7.5;13.0;2.6
D10;CLAYSTONE;1004.5;0.6642;0.60947;0.60672;0.61842;0.60904;169.17287;434.88126;105;24.17351;0.2004;2.13761;0.01;6.5;0.0;27.4;0.0;13.5;28.1;7.1;11.7;5.7
